653,J0529-0519,29:53.5,-05:19:41.0000
654,J0530+1331,30:56.4,+13:31:55.0000
655,J0532+0732,32:39.0,+07:32:43.0000
656,J0538+5107,38:54.8,+51:07:23.0000
657,J0541+5312,41:16.2,+53:12:24.0100
658,J0541-0541,41:38.1,-05:41:49.0000
659,J0542-0913,42:55.9,-09:13:31.0000
660,J0551-1909,51:55.3,-19:09:21.0000
661,J0552+0313,52:50.1,+03:13:27.0000
662,J0554+6857,54:00.8,+68:57:53.9900
663,J0558-1317,58:02.5,-13:17:41.0000
664,J0559+5804,59:13.4,+58:04:02.9900
665,J0559-1817,59:46.4,-18:17:47.0000
666,J0606-0724,06:43.5,-07:24:30.0000
667,J0607+4739,07:23.3,+47:39:47.0000
668,J0607+6720,07:52.7,+67:20:55.0000
669,J0607-0834,07:59.7,-08:34:50.0000
670,J0609-1542,09:40.9,-15:42:40.0000
671,J0610-1847,10:17.9,-18:47:40.0000
672,J0612+4122,12:51.2,+41:22:36.9900
673,J0616-1041,16:41.8,-10:41:08.0000
674,J0617+5701,17:16.9,+57:01:16.3960
675,J0617+7816,17:56.9,+78:16:07.0200
676,J0617-1715,17:33.4,-17:15:25.0970
677,J0618+4620,18:08.2,+46:20:15.9900
678,J0619-1140,19:04.1,-11:40:55.0000
679,J0623+3830,23:28.9,+38:30:49.0000
680,J0624+3856,24:19.0,+38:56:48.0000
681,J0625+4440,25:18.3,+44:40:01.0100
682,J0626+8202,26:03.0,+82:02:24.9900
683,J0629-1959,29:23.8,-19:59:19.0000
684,J0630-1323,30:53.9,-13:23:34.0000
685,J0631-1410,31:20.2,-14:10:31.0000
686,J0632+057,32:59.3,+05:48:01.0000
687,J0632+3200,32:30.8,+32:00:53.0000
688,J0637+3322,37:55.9,+33:22:05.9900
689,J0638+5933,38:02.9,+59:33:22.0000
690,J0639+7324,39:22.0,+73:24:58.0100
691,J0642+3509,42:58.1,+35:09:18.0100
692,J0642+6758,42:04.2,+67:58:34.9900
693,J0642+8811,42:06.2,+88:11:54.9900
694,J0644+3914,44:53.7,+39:14:46.9900
695,J0646+4451,46:32.0,+44:51:15.9900
696,J0650+5616,50:48.2,+56:16:34.0000
697,J0650+6001,50:31.3,+60:01:44.0000
698,J0653+3705,53:58.3,+37:05:40.0000
699,J0654+4514,54:23.7,+45:14:23.0000
700,J0654+5042,54:22.1,+50:42:23.0100
701,J0655+4100,55:10.0,+41:00:10.0000
702,J0657+2423,57:05.7,+24:23:55.0000
703,J0702+2644,02:31.8,+26:44:11.0000
704,J0702+8549,02:32.8,+85:49:51.9900
705,J0712+5033,12:43.6,+50:33:22.0000
706,J0717+4538,17:51.8,+45:38:03.0000
707,J0720+4737,20:21.5,+47:37:43.9900
708,J0721+7120,21:53.4,+71:20:36.0200
709,J0722+3722,22:01.3,+37:22:27.9900
710,J0725+1425,25:16.8,+14:25:13.0000
711,J0726+0636,26:36.4,+06:36:42.0000
712,J0726+2153,26:14.3,+21:53:20.0000
713,J0726+7911,26:11.7,+79:11:31.0100
714,J0728+2153,28:20.6,+21:53:06.0000
715,J0728+5701,28:49.6,+57:01:24.0000
716,J0730+4049,30:51.4,+40:49:50.0000
717,J0731+2451,31:33.7,+24:51:58.0000
718,J0732+2548,32:56.3,+25:48:38.0000
719,J0733+0456,33:57.5,+04:56:14.0000
720,J0733+5022,33:52.5,+50:22:08.9900
721,J0735+4750,35:02.3,+47:50:08.0000
722,J0736+2604,36:58.1,+26:04:49.0000
723,J0738+1742,38:07.4,+17:42:19.0000
724,J0739+0137,39:18.0,+01:37:04.0000
725,J0740+2852,40:33.5,+28:52:47.0000
726,J0741+3112,41:10.7,+31:12:00.0000
727,J0742+4900,42:02.7,+49:00:15.0000
728,J0742+5444,42:39.8,+54:44:24.7060
729,J0743+1714,43:05.1,+17:14:24.0000
730,J0745+1011,45:33.1,+10:11:12.0000
731,J0745+3313,45:59.3,+33:13:34.0000
732,J0745-0044,45:54.1,-00:44:17.0000
733,J0746+2549,46:25.9,+25:49:02.0970
734,J0746+2734,46:40.4,+27:34:59.0000
735,J0747+7639,47:14.6,+76:39:17.0100
736,J0748+2400,48:36.1,+24:00:24.0000
737,J0749+7420,49:22.5,+74:20:41.0200
738,J0750+1021,50:32.9,+10:21:26.0000
739,J0750+1231,50:52.0,+12:31:04.0000
740,J0750+1823,50:00.3,+18:23:11.0000
741,J0750+4814,50:20.4,+48:14:53.0000
742,J0751+3313,51:53.7,+33:13:19.0100
743,J0752+3730,52:40.9,+37:30:24.0100
744,J0753+5352,53:01.4,+53:52:58.9900
745,J0754+3033,54:48.9,+30:33:55.0000
746,J0756+6347,56:54.6,+63:47:58.9900
747,J0757+0956,57:06.6,+09:56:34.0000
748,J0802+1809,02:48.0,+18:09:49.0000
749,J0805+6144,05:18.2,+61:44:23.0000
750,J0805-0111,05:12.9,-01:11:13.0000
751,J0806+4504,06:33.5,+45:04:31.9900
752,J0807+5117,07:01.0,+51:17:38.0000
753,J0807-0541,07:09.6,-05:41:13.9000
754,J0808+4052,08:56.7,+40:52:43.9900
755,J0808+4950,08:39.7,+49:50:35.9900
756,J0808+7315,08:16.5,+73:15:12.0000
757,J0808-0751,08:15.5,-07:51:09.0000
758,J0809+3455,09:38.9,+34:55:37.1930
759,J0809+5341,09:41.7,+53:41:25.0000
760,J0810+4134,10:59.0,+41:34:02.0000
761,J0811+0146,11:26.7,+01:46:52.0000
762,J0811+4533,11:08.8,+45:33:49.0000
763,J0813+2542,13:03.8,+25:42:11.0000
764,J0814+5609,14:32.1,+56:09:56.6900
765,J0814+6431,14:39.2,+64:31:22.0100
766,J0815+3635,15:25.9,+36:35:14.9900
767,J0817+3227,17:28.6,+32:27:02.0100
768,J0817-0933,17:49.8,-09:33:30.0000
769,J0818+4222,18:16.0,+42:22:45.0000
770,J0818+4754,18:22.5,+47:54:34.0100
771,J0819+3226,19:02.3,+32:26:37.0000
772,J0823+2928,23:41.1,+29:28:28.0000
773,J0824+3916,24:55.5,+39:16:41.0100
774,J0824+5552,24:47.2,+55:52:41.9900
775,J0824-1527,24:51.6,-15:27:45.0000
776,J0824-1827,24:04.1,-18:27:40.0000
777,J0825+0309,25:50.3,+03:09:24.0000
778,J0825+1332,25:11.9,+13:32:32.0000
779,J0825+6157,25:38.6,+61:57:28.0000
780,J0827+3525,27:38.6,+35:25:05.0000
781,J0830+2410,30:52.1,+24:10:58.9900
782,J0831+0429,31:48.9,+04:29:39.0000
783,J0831+0847,31:55.1,+08:47:43.0000
784,J0833+0350,33:18.9,+03:50:32.0000
785,J0833+4224,33:53.9,+42:24:01.0100
786,J0834+6019,34:17.5,+60:19:46.9900
787,J0835+6835,35:47.6,+68:35:11.0000
788,J0836+0052,36:15.8,+00:53:00.0000
789,J0836+2728,36:22.9,+27:28:52.0000
790,J0837+2454,37:40.2,+24:54:23.0000
791,J0837+5825,37:22.4,+58:25:01.0100
792,J0839+0104,39:49.6,+01:04:26.0000
793,J0839+0319,39:49.2,+03:19:53.0000
794,J0842+1835,42:05.1,+18:35:41.0000
795,J0847-0703,47:56.7,-07:03:16.0000
796,J0849+5108,49:58.0,+51:08:29.0100
797,J0850-1213,50:09.6,-12:13:35.0000
798,J0851+0845,51:28.4,+08:45:15.0000
799,J0853-0150,53:01.3,-01:50:48.0000
800,J0854+2006,54:48.9,+20:06:30.0000
801,J0854+5757,54:42.0,+57:57:29.0100
802,J0856+1739,56:56.7,+17:39:47.0000
803,J0856+2111,56:57.2,+21:11:42.9900
804,J0856-1105,56:41.8,-11:05:14.0000
805,J0900+4108,00:21.4,+41:08:23.0100
806,J0900-1242,00:39.8,-12:42:32.0000
807,J0901+0448,01:11.9,+04:48:58.0000
808,J0902+0443,02:27.2,+04:43:09.5400
809,J0902+4310,02:30.9,+43:10:14.0000
810,J0902+5402,02:19.3,+54:02:57.0000
811,J0903+6757,03:53.2,+67:57:21.9900
812,J0903-1721,03:00.0,-17:21:05.0000
813,J0905+1358,05:35.0,+13:58:06.2980
814,J0905+2849,05:41.8,+28:49:28.0000
815,J0906+6930,06:30.8,+69:30:29.9900
816,J0908+1609,08:55.9,+16:09:54.0000
817,J0909+0121,09:10.1,+01:21:35.0000
818,J0909+0200,09:39.8,+02:00:05.0000
819,J0910+2248,10:42.1,+22:48:35.0000
820,J0910+3329,10:37.0,+33:29:24.4040
821,J0911+3319,11:00.9,+33:19:29.0960
822,J0914+0245,14:38.3,+02:45:37.0000
823,J0915+2933,15:52.4,+29:33:24.0020
824,J0917-1345,17:39.0,-13:45:42.0000
825,J0919+3324,19:08.8,+33:24:42.0000
826,J0920+4441,20:58.5,+44:41:54.0000
827,J0921+6215,21:36.2,+62:15:52.0100
828,J0921+6604,21:57.8,+66:04:38.2010
829,J0922-0529,22:23.7,-05:29:07.0000
830,J0923+2815,23:51.5,+28:15:25.0010
831,J0923+3849,23:14.5,+38:49:39.0000
832,J0923+4125,23:31.3,+41:25:27.0000
833,J0925+1658,25:50.0,+16:58:12.0000
834,J0926+4029,26:00.4,+40:29:49.0000
835,J0927+3902,27:03.0,+39:02:19.9900
836,J0928+4446,28:24.1,+44:46:04.0000
837,J0929+5013,29:15.4,+50:13:36.0000
838,J0929+8612,29:43.0,+86:12:21.0000
839,J0930+7420,30:53.8,+74:20:05.0100
840,J0932+5306,32:41.2,+53:06:32.9900
